STATION,NAME,DATE,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/4/60,,,,,,,,,0.16,0,0,,60,42,,,,,,,,,,1,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/5/60,,,,,,,,,0.67,0,0,,60,53,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/6/60,,,,,,,,,0,0,0,,63,54,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/7/60,,,,,,,,,0.06,0,0,,62,55,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/8/60,,,,,,,,,0.51,0,0,,60,50,,,,,,,,,,1,,1,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/9/60,,,,,,,,,0.36,0,0,,55,48,,,,,,,,,,,,1,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/10/60,,,,,,,,,0.07,0,0,,60,44,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/11/60,,,,,,,,,0,0,0,,61,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/12/60,,,,,,,,,0,0,0,,61,42,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/13/60,,,,,,,,,0.02,0,0,,60,45,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/14/60,,,,,,,,,0,0,0,,62,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/15/60,,,,,,,,,0,0,0,,61,42,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/16/60,,,,,,,,,0,0,0,,64,42,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/17/60,,,,,,,,,0,0,0,,62,38,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/18/60,,,,,,,,,0.13,0,0,,55,42,,,,,,,,,,,,,,1,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/19/60,,,,,,,,,0,0,0,,60,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/20/60,,,,,,,,,0,0,0,,65,42,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/21/60,,,,,,,,,0,0,0,,59,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/22/60,,,,,,,,,0,0,0,,61,37,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/23/60,,,,,,,,,0,0,0,,63,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/24/60,,,,,,,,,0,0,0,,61,36,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/25/60,,,,,,,,,0,0,0,,56,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/26/60,,,,,,,,,0,0,0,,57,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/27/60,,,,,,,,,0,0,0,,56,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/28/60,,,,,,,,,0,0,0,,57,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/29/60,,,,,,,,,0,0,0,,60,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/1/60,,,,,,,,,0,0,0,,55,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/2/60,,,,,,,,,0,0,0,,58,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/3/60,,,,,,,,,0,0,0,,62,47,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/4/60,,,,,,,,,0,0,0,,62,52,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/5/60,,,,,,,,,0.13,0,0,,58,54,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/6/60,,,,,,,,,0.19,0,0,,59,52,,,,,,,,,,1,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/7/60,,,,,,,,,0.11,0,0,,61,50,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/8/60,,,,,,,,,0,0,0,,61,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/9/60,,,,,,,,,0,0,0,,60,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/10/60,,,,,,,,,0,0,0,,62,38,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/11/60,,,,,,,,,0.13,0,0,,60,49,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/12/60,,,,,,,,,0.3,0,0,,59,52,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/13/60,,,,,,,,,0.04,0,0,,62,48,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/14/60,,,,,,,,,0,0,0,,69,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/15/60,,,,,,,,,0,0,0,,63,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/16/60,,,,,,,,,0,0,0,,76,51,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/17/60,,,,,,,,,0,0,0,,77,55,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/18/60,,,,,,,,,0,0,0,,79,49,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/19/60,,,,,,,,,0,0,0,,77,51,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/20/60,,,,,,,,,0,0,0,,73,50,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/21/60,,,,,,,,,0,0,0,,62,51,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/22/60,,,,,,,,,0,0,0,,60,51,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/23/60,,,,,,,,,0,0,0,,54,51,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/24/60,,,,,,,,,0,0,0,,56,51,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/25/60,,,,,,,,,0,0,0,,58,52,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/26/60,,,,,,,,,0.05,0,0,,63,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/27/60,,,,,,,,,0.16,0,0,,64,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/28/60,,,,,,,,,0,0,0,,61,46,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/29/60,,,,,,,,,0,0,0,,65,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/30/60,,,,,,,,,0.13,0,0,,61,50,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/31/60,,,,,,,,,0,0,0,,61,41,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/1/60,,,,,,,,,0,0,0,,69,52,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/2/60,,,,,,,,,0,0,0,,78,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/3/60,,,,,,,,,0,0,0,,81,53,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/4/60,,,,,,,,,0,0,0,,83,51,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/5/60,,,,,,,,,0,0,0,,76,53,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/6/60,,,,,,,,,0.02,0,0,,77,51,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/7/60,,,,,,,,,0,0,0,,68,51,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/8/60,,,,,,,,,0,0,0,,65,54,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/9/60,,,,,,,,,0,0,0,,62,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/10/60,,,,,,,,,0,0,0,,60,49,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/11/60,,,,,,,,,0.09,0,0,,63,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/12/60,,,,,,,,,0,0,0,,63,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/13/60,,,,,,,,,0,0,0,,63,49,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/14/60,,,,,,,,,0,0,0,,64,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/15/60,,,,,,,,,0,0,0,,64,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/16/60,,,,,,,,,0,0,0,,69,41,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/17/60,,,,,,,,,0,0,0,,63,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/18/60,,,,,,,,,0,0,0,,66,50,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/19/60,,,,,,,,,0,0,0,,67,50,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/20/60,,,,,,,,,0,0,0,,67,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/21/60,,,,,,,,,0,0,0,,62,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/22/60,,,,,,,,,0,0,0,,57,41,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/23/60,,,,,,,,,0,0,0,,58,43,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/24/60,,,,,,,,,0,0,0,,61,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/25/60,,,,,,,,,0,0,0,,64,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/26/60,,,,,,,,,0.4,0,0,,59,45,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/27/60,,,,,,,,,0.19,0,0,,60,48,,,,,,,,,,,,1,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/28/60,,,,,,,,,0,0,0,,61,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/29/60,,,,,,,,,0,0,0,,64,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/30/60,,,,,,,,,0,0,0,,62,51,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/1/60,,,,,,,,,0,0,0,,66,47,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/2/60,,,,,,,,,0,0,0,,59,51,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/3/60,,,,,,,,,0.17,0,0,,59,49,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/4/60,,,,,,,,,0,0,0,,65,49,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/5/60,,,,,,,,,0,0,0,,68,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/6/60,,,,,,,,,0,0,0,,73,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/7/60,,,,,,,,,0,0,0,,71,52,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/8/60,,,,,,,,,0,0,0,,64,53,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/9/60,,,,,,,,,0,0,0,,73,46,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/10/60,,,,,,,,,0,0,0,,77,52,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/11/60,,,,,,,,,0,0,0,,70,54,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/12/60,,,,,,,,,0,0,0,,67,54,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/13/60,,,,,,,,,0,0,0,,69,50,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/14/60,,,,,,,,,0,0,0,,65,51,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/15/60,,,,,,,,,0,0,0,,63,52,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/16/60,,,,,,,,,0,0,0,,67,50,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/17/60,,,,,,,,,0,0,0,,68,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/18/60,,,,,,,,,0,0,0,,71,52,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/19/60,,,,,,,,,0,0,0,,80,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/20/60,,,,,,,,,0,0,0,,64,52,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/21/60,,,,,,,,,0,0,0,,62,46,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/22/60,,,,,,,,,0,0,0,,62,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/23/60,,,,,,,,,0.1,0,0,,59,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/24/60,,,,,,,,,0.36,0,0,,64,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/25/60,,,,,,,,,0,0,0,,71,55,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/26/60,,,,,,,,,0,0,0,,73,51,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/27/60,,,,,,,,,0,0,0,,74,55,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/28/60,,,,,,,,,0,0,0,,65,51,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/29/60,,,,,,,,,0,0,0,,61,53,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/30/60,,,,,,,,,0,0,0,,76,51,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",5/31/60,,,,,,,,,0,0,0,,77,52,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/1/60,,,,,,,,,0,0,0,,90,57,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/2/60,,,,,,,,,0,0,0,,107,60,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/3/60,,,,,,,,,0,0,0,,84,56,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/4/60,,,,,,,,,0,0,0,,74,56,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/5/60,,,,,,,,,0,0,0,,74,58,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/6/60,,,,,,,,,0,0,0,,71,59,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/7/60,,,,,,,,,0,0,0,,67,55,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/8/60,,,,,,,,,0,0,0,,68,55,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/9/60,,,,,,,,,0,0,0,,71,55,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/10/60,,,,,,,,,0,0,0,,67,55,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/11/60,,,,,,,,,0,0,0,,76,55,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/12/60,,,,,,,,,0,0,0,,75,55,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/13/60,,,,,,,,,0,0,0,,86,52,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/14/60,,,,,,,,,0,0,0,,81,54,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/15/60,,,,,,,,,0,0,0,,83,59,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/16/60,,,,,,,,,0,0,0,,75,60,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/17/60,,,,,,,,,0,0,0,,71,55,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/18/60,,,,,,,,,0,0,0,,67,55,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/19/60,,,,,,,,,0,0,0,,70,54,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/20/60,,,,,,,,,0,0,0,,88,54,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/21/60,,,,,,,,,0,0,0,,88,56,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",6/22/60,,,,,,,,,0,0,0,,79,54,,,,,,,,,,,,,,,,1,,,
